,제목,제공기관,설명,파일형태,수정일,제공형태
143,경상남도 양산시 병원 현황,자치행정기관,경상남도 양산시 병원 현황,CSV,2020-12-01,파일
144,전라남도 담양군 병원 및 요양원 현황,자치행정기관,담양군 관내 병원 및 요양원 현황,CSV,2020-12-01,파일
145,경상남도 양산시 동물 병원 현황,자치행정기관,경상남도 양산시 동물 병원 현황,CSV,2020-11-30,파일
146,경상남도 양산시 대한약사회 경남지부 현황,자치행정기관,경상남도 양산시 대한약사회 경남지부 현황,CSV,2020-11-30,파일
147,경상남도 양산시 검진실적(소아시력)현황,자치행정기관,2009년 부터 2019년 까지 경상남도 양산시 소아시력 검진실적 현황,CSV,2020-11-30,파일
148,경상남도 양산시 검진실적(만성질환)현황,자치행정기관,2009년 부터 2019년 까지 경상남도 양산시 만성질환 검진실적 현황,CSV,2020-11-30,파일
149,경상남도 양산시 검진실적(국가암검진)현황,자치행정기관,2009년 부터 2019년 까지 경상남도 양산시 국가암검진 검진실적 현황,CSV,2020-11-30,파일
150,인천광역시 미추홀구 숭의보건지소 재활치료실 장비목록,자치행정기관,"숭의보건지소 재활치료실 장비목록
(장비유형, 장비명, 대수, 기능)","CSV,HWP",2020-11-30,파일
151,대구광역시 음식점 등록현황,자치행정기관,"대구의 숨겨진 맛집, 일반음식점 관련 데이터입니다.
업소명과 업태, 그리고 업소의 주소가 기록되어 있습니다.",CSV,2020-11-30,파일
152,인천광역시 미추홀구 흡연실현황,자치행정기관,"인천광역시 미추홀구 흡연실 현황 데이터를 제공합니다.
(시설명, 위치, 관리기관)",CSV,2020-11-30,파일
153,경기도 수원시 의약품도매업소현황,자치행정기관,경기도 수원시 의약품도매업소 업종별 현황 정보를 제공합니다.,CSV,2020-11-30,파일
154,인천광역시 미추홀구 의료기기판매업소 현황,자치행정기관,"관내 의료기기판매업소 업체명, 소재지, 전화번호",CSV,2020-11-30,파일
155,대전광역시 서구 의료기기판매업현황,자치행정기관,"서구 관내 의료기기판매업소 정보(업소명, 소재지, 전화번호)",CSV,2020-11-30,파일
156,대전광역시 서구 당직의료기관 현황,자치행정기관,"대전광역시 서구 당직의료기관 현황 데이터를 제공합니다. (병원명, 당직일, 연락처 등)",CSV,2020-11-30,파일
157,인천광역시 미추홀구 공동주택금연구역지정 현황,자치행정기관,"공동주택 금연구역 지정현황,아파트명,소재지,지정일 등",CSV,2020-11-28,파일
158,인천광역시 미추홀구 금연클리닉운영 현황,자치행정기관,"금연클리닉 운영현황 ,연도,금연결심자수,4주금연성공율,6개월금연성공율(%) 등",CSV,2020-11-28,파일
159,국립암센터 PRE위암 라이브러리 메타정보,공공기관,"PRE위암_라이브러리_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-11-27,파일
160,충청북도 보은군 진단용방사선발생장치 및 특수장비현황,자치행정기관,"보은군 관내 의료기관의 진단용방사선발생장치 및 특수장비 보유 현황(장치명, 설치 장소 등)",CSV,2020-11-27,파일
161,인천광역시 미추홀구 안경업소,자치행정기관,"관내 안경업소 상호명, 소재지, 전화번호",CSV,2020-11-26,파일
162,한국사회보장정보원 우편번호 정보,공공기관,공공보건포털에서 보유하고 있는 우편번호 정보,CSV,2020-11-26,파일
163,한국사회보장정보원 보건기관 기본정보,공공기관,공공보건포털에서 제공하는 보건기관들의 위치 등 기본정보,CSV,2020-11-26,파일
164,인천광역시 연수구 안경업소 현황,자치행정기관,"안경업소 현황(업소명, 소재지, 전화번호)",CSV,2020-11-25,파일
165,인천광역시 연수구 병의원 현황,자치행정기관,"인천광역시 연수구 병의원 현황(의료기관명칭, 소재지, 전화번호 등)",CSV,2020-11-25,파일
166,대구광역시 의료기관 현황,자치행정기관,대구시 의료기관 현황 제공,"CSV,XLS",2020-11-25,파일
167,서울특별시 용산구 흡연구역,자치행정기관,"서울특별시 용산구의 흡연구역의 위치, 설치/관리 주체 등에 대한 정보입니다.",CSV,2020-11-25,파일
168,경상북도 공중위생업소 현황,자치행정기관,"경상북도 공중위생과 관련한 정보를 제공합니다.(경상북도 시군별 공중위생업소(숙박업, 목욕업, 이용업, 세탁업, 건물위생관리업, 위생처리 등)의 현황입니다.)",CSV,2020-11-24,파일
169,대전광역시 동구 약국 현황,자치행정기관,동구 관내 약국 현황,CSV,2020-11-24,파일
170,대전광역시 동구 의료기관 현황,자치행정기관,"동구 관내 의료기관 현황(의료기관명, 주소, 전화번호)",CSV,2020-11-24,파일
171,부산광역시 연제구 기초수급자 현황,자치행정기관,기초수급자 현황((행정동별 수급자 가구수 및 수급권자수),CSV,2020-11-24,파일
172,부산광역시 동래구 동물병원 현황,자치행정기관,"동래구 관내 동물병원 현황(상호, 위치정보 등)",CSV,2020-11-24,파일
173,광주광역시 의료기관 현황,자치행정기관,"광주광역시에 위치한 의료기관 현황(종합병원, 정신병원, 한방병원, 치과병원, 노인전문병원 명칭, 위치, 전화번호 정보)",CSV,2020-11-24,파일
174,서울특별시 성동구 실외운동기구현황,자치행정기관,"서울특별시 성동구_실외운동기구현황(설치장소, 설치기구수 등)",CSV,2020-11-23,파일
175,광주광역시 광산구 예방접종 위탁의료기관 현황,자치행정기관,"광산구 어린이 국가예방접종 위탁위료기관 현황(기관명, 주소, 연락처 등) 정보를 제공합니다",CSV,2020-11-23,파일
176,전라북도 임실군 집단급식소설치병원,자치행정기관,전라북도 임실군의 집단급식소가 설치된 병원 현황입니다.,CSV,2020-11-23,파일
177,서울특별시 성동구 흡연시설정보,자치행정기관,서울특별시 성동구 흡연시설 정보데이터를 제공합니다. (시설위치 등),CSV,2020-11-23,파일
178,서울특별시 성동구 흡연정보,자치행정기관,"서울특별시 성동구_흡연정보(연도별 흡연민원건수, 흡연단속건수)",CSV,2020-11-23,파일
179,경상남도 창녕군 의료기관정보 의원,자치행정기관,"경상남도 창녕군의 의원현황(의료기관명, 대표자, 주소, 진료과목, 연락처)",CSV,2020-11-23,파일
180,경기도 부천시 약국현황,자치행정기관,"경기도 부천시 약국명칭, 주소, 연락처 등 정보",CSV,2020-11-23,파일
181,경기도 부천시 병원현황,자치행정기관,"경기도 부천시 병원종별, 의료기관명, 주소, 전화번호 현황",CSV,2020-11-23,파일
182,경기도 부천시 기초생활수급자현황,자치행정기관,"기초생활보장수급자 현황 동별, 세대, 인원수 통계자료 제공",CSV,2020-11-23,파일
183,"경상북도 보건소, 보건의료원 현황",자치행정기관,"경상북도 보건소,보건지소,보건진료소 현황(경상북도 시군 보건소(보건의료원)의 시군구명, 보건지소(보건의료원)명, 주소, 전화번호 현황입니다.)",CSV,2020-11-23,파일
184,인천광역시 동구 공중위생업현황,자치행정기관,"인천 동구 공중위생업소(미용업,이용업) 현황 정보",CSV,2020-11-23,파일
185,경상북도 지방의료원 현황,자치행정기관,"경상북도 지방의료원 연역, 일반현황, 진료현황 입니다",CSV,2020-11-23,파일
186,충청북도 충주시 위생업소,자치행정기관,"미용업소의 소재지, 전화번호, 업소명 정보제공",CSV,2020-11-23,파일
187,충청북도 동물병원 현황,자치행정기관,"충청북도 동물병원 현황 - 병원명, 위치, 개설일, 진료대상 등",CSV,2020-11-23,파일
188,광주광역시 광산구 응급의료기관 현황,자치행정기관,"광산구 내 응급의료기관 현황(시설명, 진료과목 등) 정보를 제공합니다",CSV,2020-11-23,파일
189,광주광역시 광산구 보건소 현황,자치행정기관,"광산구 보건소 현황(시설명, 주소, 전화번호 등) 정보를 제공합니다",CSV,2020-11-23,파일
190,경기도 김포시 약국현황,자치행정기관,"김포시 약국현황입니다.(약국명,소재지주소,법정동명,전화번호)",CSV,2020-11-23,파일
191,경기도 김포시 의료기관현황,자치행정기관,"김포시 의료기관 현황입니다(구분,상호명,소재지주소,법정동명,전화번호)",CSV,2020-11-23,파일
192,목포시 병원현황,자치행정기관,목포시에 위치한 병원현황,CSV,2020-11-23,파일
193,목포시 약국 현황,자치행정기관,목포시에 위치한 약국현황 제공,CSV,2020-11-23,파일
194,울산광역시 남구 의료기기판매업소 현황,자치행정기관,"울산광역시 남구에 있는 의료기기판매업소 정보(사업장명, 주소, 인허가일자,영업상태명 등)",CSV,2020-11-23,파일
195,한국한의학연구원 한의임상정보은행 정보,공공기관,국내외 한방의료기관을 통해 수집된 사상의학적 임상정보 은행,CSV,2020-11-23,파일
196,경상남도 김해시 약국 현황,자치행정기관,"김해시 약국현황(상호명,전화번호,주소)",CSV,2020-11-23,파일
197,경상남도 김해시 안전상비비의약품판매업소 현황,자치행정기관,"김해시 안전상비의약품판매업소 현황(업체명,주소 등)",CSV,2020-11-23,파일
198,한국보건산업진흥원 보건산업신기술 현황,공공기관,우수기술 산업화를 위한 한국보건산업진흥원 기술이전센터에 등록된 기술 공개,CSV,2020-11-23,파일
199,울산광역시 동구 동물병원 현황,자치행정기관,"관내 동물보호소 명칭 및 위치, 대표자 등 현황",CSV,2020-11-23,파일
200,한국보건산업진흥원 유치사업등록 의료기관 정보,공공기관,해외환자 유치사업 등록 의료기관 정보,CSV,2020-11-23,파일
201,대전광역시 동구 특수의료장비현황,자치행정기관,"대전광역시 동구 관내 설치된 특수의료장비 현황입니다. (의료기관명, 주소, 의료장비명 등)",CSV,2020-11-23,파일
202,대전광역시 동구 공중위생업현황,자치행정기관,"동구 관내 이미용업소 현황(업종, 신고일, 업소명, 소재지, 전화번호)",CSV,2020-11-23,파일
203,국민건강보험공단 노인장기요양보험 시도별 판정 현황,공공기관,노인장기요양보험 시도별 등급별 자격별 판정 현황,CSV,2020-11-23,파일
204,대전광역시 동구 안경업소 현황,자치행정기관,동구 관내 안경업소 현황,CSV,2020-11-23,파일
205,경기도 김포시 목욕업소,자치행정기관,경기도 김포시의 목욕업소의 업체명 전화번호 정보입니다.,CSV,2020-11-23,파일
206,경기도 김포시 공동공설묘지현황,자치행정기관,"김포시 공동공설묘지현황입니다.(묘지명,묘지위치,묘지면적(㎡),묘역면적(㎡),총매장가능기수,기매장기수)",CSV,2020-11-23,파일
207,전라남도 보건환경연구원홈페이지 보건관련상식,자치행정기관,전라남도 보건환경연구원 홈페이지에 게시된 보건관련상식입니다.,CSV,2020-11-23,파일
208,서울특별시 양천구 흡연민원 단속건수,자치행정기관,"서울특별시 양천구 흡연관련 민원건수, 단속건수",CSV,2020-11-22,파일
209,전라북도 익산시 의료기기판매업소,자치행정기관,익산시 관내 의료기기 판매업소 현황,CSV,2020-11-21,파일
210,전라북도 익산시 의료기관,자치행정기관,"익산시 내 대학병원 및 의원, 치과의원, 한의원 현황",CSV,2020-11-21,파일
211,인천광역시 서구 병원,자치행정기관,"인천광역시 서구 병원 현황(병원명, 소재지, 위도, 경도, 전화번호)입니다.",CSV,2020-11-21,파일
212,인천광역시 서구 국가 암검진 의료기관,자치행정기관,"인천광역시 서구 국가 암검진 의료기관 현황(검진기관명, 검진기관기호, 전화번호, FAX, 주소, 행정동, 위암, 간암, 대장암, 유방암, 자궁경부암, 폐암)입니다.",CSV,2020-11-21,파일
213,인천광역시 서구 공중위생업소,자치행정기관,"인천광역시 서구 공중위생업소 현황(업종명, 신고일자, 업소명, 소재지, 전화번호)입니다.",CSV,2020-11-21,파일
214,부산광역시 동래구 의료기기 임대 및 판매업소현황,자치행정기관,"부산광역시 동래구 관내 의료기기 임대 및 판매업소 현황(업소명, 소재지 등)",CSV,2020-11-21,파일
